usuarioId,nombre,edad,sexo,email,fechaNacimiento
1,Valentina,21,Otro,valentina1@mail.com,2004-10-25
2,Mateo,25,M,mateo2@mail.com,2000-08-27
3,Sofía,41,Otro,sofia3@mail.com,1984-02-01
4,Sebastián,31,Otro,sebastian4@mail.com,1994-10-21
5,Isabella,24,M,isabella5@mail.com,2001-07-10
6,Santiago,18,Otro,santiago6@mail.com,2007-01-23
7,Mariana,38,Otro,mariana7@mail.com,1986-11-12
8,Daniel,25,F,daniel8@mail.com,2000-03-22
9,Camila,43,F,camila9@mail.com,1982-11-03
10,Juan,31,Otro,juan10@mail.com,1994-05-16
11,Martina,24,M,martina11@mail.com,2001-05-18
12,Nicolás,30,M,nicolas12@mail.com,1995-09-18
13,Sara,37,F,sara13@mail.com,1988-06-24
14,Samuel,32,Otro,samuel14@mail.com,1993-02-05
15,Laura,20,F,laura15@mail.com,2005-01-28
16,Felipe,37,Otro,felipe16@mail.com,1988-05-05
17,Lucía,40,M,lucia17@mail.com,1985-10-02
18,Andrés,25,Otro,andres18@mail.com,2000-06-11
19,Paula,45,M,paula19@mail.com,1980-09-16
20,David,32,F,david20@mail.com,1992-12-16
